brand,name,old_prices_reais,old_prices_centavos,new_prices_reais,new_price_centavos,review_rating_number,review_amount
FILA,Tenis Masculino Fila Progress Confortal Leve - Original,597,85,316,86,4.8,(60)
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,68,67,22,,4.7,(2004)
EVOLTENN,Kit 3 Tênis Desportivo Solado Trançado Macio Envio Imadiato,189,90,170,91,4.0,(28)
ASCENSION,Tenis Masculino Leve Confotavel Dia A Dia Para Treino,109,90,36,63,4.5,(142)
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,78,90,74,95,4.3,(71)
ESTILO SHOES,Tenis Masculino Academia Caminhada Corrida Estilo Shoes,78,49,26,16,,
ACTVITTA,Tênis Masculino Calce Fácil Slip On Esportivo Original,129,88,97,41,4.5,(43)
SAPATOFRAN,Tênis Sapatênis Esportivo Para Academia X-try Original Leve,84,90,8,25,4.1,(321)
FILA,Tênis Fila Masculino Esportivo Extra Treino Confortável,319,90,268,71,5.0,(2)
OLYMPIKUS,Tenis Masculino Olympikus Volcan Ultra Leve Para Training,241,16,185,69,4.7,(274)
,Tenis Sport Titanium  Original - Esportivo,78,90,61,75,4.5,(3439)
BF SHOES,Tênis Masculino Para Caminhada Academia Esportivo Bf Shoes,89,90,64,90,,
OLYMPIKUS,Tênis Masculino Olimp Treino Academia Leve Macio - Olympikus,229,99,188,59,4.8,(624)
RAINHA,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,78,90,7,67,4.6,(755)
OLYMPIKUS,Tênis Caminhada Masculino Olympikus Esportivo Oferta Macio,279,99,187,59,4.9,(28)
OLYMPIKUS,Olympikus Casual Soma Masculino Adultos,208,89,184,30,4.5,(10)
OLYMPIKUS,Tenis Masculino Olympikus Noventa Classico Leve - Original,264,82,208,05,4.8,(25)
ADIDAS,Tênis adidas Pureboost 23 Corrida Boost Ultra Leve,999,25,749,64,,
OLYMPIKUS,Tênis Masculino Olympikus Index 3 Corrida Original Esportivo,237,49,180,49,,
